1525209672129:1525209729094:80it / 100ms [Secure][2 th]:19,818181818181817:16,0:1:4,102355881366035:46,940327882912136:9062,066218783997
1525209729095:1525209764792:80it / 100ms [Secure][2 th]:8,25:15,333333333333334:0:6,226857115365272:46,88076483112911:13060,998801937205
1525209764793:1525209820634:80it / 100ms [Secure][2 th]:10,666666666666666:0,0:1:4,832740458861831:46,93145108395988:9491,881440851637
1525209820635:1525209854862:80it / 100ms [Secure][2 th]:15,0:15,0:0:9,369776118393474:47,07176973153316:17284,278720950704
1525209854862:1525209908645:80it / 100ms [Secure][2 th]:9,11111111111111:0,0:1:4,817519358945788:47,11226950573798:9602,703267941215
1525209908645:1525209948061:80it / 100ms [Secure][2 th]:8,5:8,5:0:5,76710258115051:47,06868848113079:13550,482217268891
1525209948062:1525209998380:80it / 100ms [Secure][2 th]:8,333333333333334:16,0:0:4,582129736351199:46,79361100885869:10392,976120486741
1525209998381:1525210038540:80it / 100ms [Secure][2 th]:1,3333333333333333:16,0:1:5,647978453013656:46,86502781565419:12208,607702103445
1525210038541:1525210065720:80it / 100ms [Secure][2 th]:10,833333333333334:0,0:0:6,622504750957647:46,957958160829406:16188,24710238663
1525210065721:1525210114554:80it / 100ms [Secure][2 th]:6,5:11,0:0:5,683994393057086:47,01002972981441:10306,699858288966
1525210215470:1525210371923:200it / 40ms [Secure][2 th]:13,571428571428571:12,125:0:4,44448612241178:47,14645761437542:8667,739369073606
1525210371924:1525210493530:200it / 40ms [Secure][2 th]:9,705882352941176:1,0:0:4,942697818413324:47,263589408947446:10689,687456222311
1525210493531:1525210603709:200it / 40ms [Secure][2 th]:13,666666666666666:11,571428571428571:0:5,12730865654221:47,48436090118013:11371,717106391996
1525210603710:1525210681452:200it / 40ms [Secure][2 th]:11,733333333333333:4,75:0:6,495985969577617:47,58703899185279:15196,441742673504
1525210681454:1525210795434:200it / 40ms [Secure][2 th]:9,416666666666666:13,0:1:4,745376627023982:47,7040790955566:10893,915065136862
1525210795436:1525210917903:200it / 40ms [Secure][2 th]:11,714285714285714:15,6:4:5,50877700588952:48,30921686245611:13039,338265772145
1525210917905:1525211020343:200it / 40ms [Secure][2 th]:8,166666666666666:11,428571428571429:1:6,666703155629904:48,73575733535992:14624,963204896292
1525211020343:1525211137054:200it / 40ms [Secure][2 th]:10,0:12,8:1:5,9242503534268485:48,878586402152514:12817,614888083948
1525211137055:1525211209945:200it / 40ms [Secure][2 th]:8,416666666666666:12,0:0:7,953369455264241:48,54444859567255:16150,280811269833
1525211209946:1525211297818:200it / 40ms [Secure][2 th]:5,181818181818182:11,285714285714286:0:6,286908394465667:48,342852988847014:14109,064948348981
1525211558287:1525211707900:400it / 20ms [Secure][2 th]:6,222222222222222:11,636363636363637:136:7,2554636138496145:49,16403017092047:31455,66460532252
1525211707901:1525211862353:400it / 20ms [Secure][2 th]:11,4:12,5:91:7,506257774906488:49,12266161430089:32387,341582784687
1525211862355:1525212047355:400it / 20ms [Secure][2 th]:12,235294117647058:13,5:125:6,485553973963571:49,184079613862636:30065,084012988587
1525212047356:1525212241924:400it / 20ms [Secure][2 th]:11,61111111111111:14,0:127:9,199657443223323:50,19351332752966:63229,7835115343
1525212241925:1525212381907:400it / 20ms [Secure][2 th]:14,615384615384615:15,833333333333334:113:11,522829355295366:50,83382937577676:75038,94054115363
1525212381907:1525212547095:400it / 20ms [Secure][2 th]:11,411764705882353:14,0:98:9,787392426297936:51,772360581088634:81759,46858690989
1525212547111:1525212726268:400it / 20ms [Secure][2 th]:11,48:7,818181818181818:109:11,741746726383358:51,636212317760645:34734,85638503325
1525212726269:1525212923966:400it / 20ms [Secure][2 th]:14,4:10,833333333333334:92:10,219123931220969:51,77769864327889:13266,619089768812
1525212923968:1525213091043:400it / 20ms [Secure][2 th]:13,636363636363637:12,0:125:11,3863988337901:50,60144719803696:15635,968708876684
1525213091058:1525213276021:400it / 20ms [Secure][2 th]:14,733333333333333:16,0:114:10,842052775127248:50,53478718401629:15190,404727069754
